copyright,date,explanation,media_type,title,url
nan,2015-02-12,"Some 60 million light-years away in the southerly constellation Corvus, two large galaxies are colliding. The stars in the two galaxies, cataloged as NGC 4038 and NGC 4039, very rarely collide in the course of the ponderous cataclysm, lasting hundreds of millions of years. But their large clouds of molecular gas and dust often do, triggering furious episodes of star formation near the center of the cosmic wreckage. Spanning about 500 thousand light-years, this stunning composited view also reveals new star clusters and matter flung far from the scene of the accident by gravitational tidal forces. The remarkable collaborative image is a mosaic constructed using data from small and large ground-based telescopes to bring out large-scale and faint tidal streams, composited with the bright cores imaged in extreme detail by the Hubble Space Telescope. Of course, the suggestive visual appearance of the extended arcing structures gives the galaxy pair its popular name - The Antennae.",image,Exploring the Antennae,https://apod.nasa.gov/apod/image/1502/AntennaePellicciaOlsen_mark1024.jpg
Stéphane Vetter,2015-02-13,"Not from a snowglobe, this expansive fisheye view of ice and sky was captured on February 1, from Jökulsárlón Beach, southeast Iceland, planet Earth. Chunks of glacial ice on the black sand beach glisten in the light of a nearly full moon surrounded by a shining halo. The 22 degree lunar halo itself is created by ice crystals in high, thin clouds refracting the moonlight. Despite the bright moonlight, curtains of aurora still dance through the surreal scene. In early February, their activity was triggered by Earth's restless magnetosphere and the energetic wind from a coronal hole near the Sun's south pole. Bright Jupiter, also near opposition, is visible at the left, beyond the icy lunar halo.",image,Aurora on Ice,https://apod.nasa.gov/apod/image/1502/LH900vetter.jpg
nan,2015-02-14,"On another Valentine's Day 25 years ago, cruising four billion miles from the Sun, the Voyager 1 spacecraft looked back one last time to make this first ever Solar System family portrait. The complete portrait is a 60 frame mosaic made from a vantage point 32 degrees above the ecliptic plane. In it, Voyager's wide angle camera frames sweep through the inner Solar System at the left, linking up with gas giant Neptune, the Solar System's outermost planet, at the far right. Positions for Venus, Earth, Jupiter, Saturn, Uranus, and Neptune are indicated by letters, while the Sun is the bright spot near the center of the circle of frames. The inset frames for each of the planets are from Voyager's narrow field camera. Unseen in the portrait are Mercury, too close to the Sun to be detected, and Mars, unfortunately hidden by sunlight scattered in the camera's optical system. Closer to the Sun than Neptune at the time, small, faint Pluto's position was not covered.",image,Solar System Portrait,https://apod.nasa.gov/apod/image/1502/ssportrait_vg1.jpg
nan,2015-02-15,"Two hours before closest approach to Neptune in 1989, the Voyager 2 robot spacecraft snapped this picture. Clearly visible for the first time were long light-colored cirrus-type clouds floating high in Neptune's atmosphere. Shadows of these clouds can even be seen on lower cloud decks.  Most of Neptune's atmosphere is made of hydrogen and helium, which is invisible.  Neptune's blue color therefore comes from smaller amounts of atmospheric methane, which preferentially absorbs red light.  Neptune has the fastest winds in the Solar System, with gusts reaching 2000 kilometers per hour.  Speculation holds that diamonds may be created in the dense hot conditions that exist under the cloud tops of Uranus and Neptune. Twenty-six years later, NASA's New Horizons is poised to be the first spacecraft  to zoom past Pluto this July.   Almost Hyperspace: Random APOD Generator",image,Two Hours Before Neptune,https://apod.nasa.gov/apod/image/1502/neptune_voyager2_960.jpg
nan,2015-02-16,"What's happening at the center of spiral galaxy M106? A swirling disk of stars and gas, M106's appearance is dominated by blue spiral arms and red  dust lanes near the nucleus, as shown in the featured image.  The core of M106 glows brightly in radio waves and X-rays where twin jets have been found running the length of the galaxy.  An unusual central glow makes M106 one of the closest examples of the Seyfert class of galaxies, where vast amounts of glowing gas are thought to be falling into a central massive black hole.  M106, also designated NGC 4258, is a relatively close 23.5 million light years away, spans 60 thousand light years across, and can be seen with a small telescope towards the constellation of the Hunting Dogs (Canes Venatici).    Astrophysicists: Browse 1,000+ codes in the Astrophysics Source Code Library",image,M106: A Spiral Galaxy with a Strange Center,https://apod.nasa.gov/apod/image/1502/m106_colombari_960.jpg
" Big Bear Solar Obs.,  NJIT,  Alan Friedman (Averted Imagination) ",2015-02-17,"When does the Sun look like a flower?  In a specific color of red light emitted by hydrogen, as featured here, some regions of the solar chromosphere may resemble a rose.  The color-inverted image was taken in 2014 October and shows active solar region 2177.  The petals dominating the frame are actually magnetically confined tubes of hot plasma called fibrils, some of which extend longer than the diameter of the Earth.  In the central region many of these fibrils are seen end-on, while the surrounding regions are typically populated with curved fibrils.  When seen over the Sun's edge, these huge plasma tubes are called spicules, and when they occur in passive regions they are termed mottles.  Sunspot region 2177 survived for several more days before the complex and tumultuous magnetic field poking through the Sun's surface evolved yet again.    Follow APOD on: Facebook,  Google Plus, or Twitter",image,Fibrils Flower on the Sun,https://apod.nasa.gov/apod/image/1502/SunRose_bbso_960.jpg
nan,2015-02-18,"What are those bright spots on asteroid Ceres? As the robotic spacecraft Dawn approaches the largest asteroid in the asteroid belt, the puzzle only deepens. Sharper new images taken last week and released yesterday indicate, as expected, that most of the surface of dwarf planet Ceres is dark and heavily cratered like our Moon and the planet Mercury. The new images do not clearly indicate, however, the nature of comparatively bright spots -- although more of them are seen to exist.  The enigmatic spots were first noticed on Texas-sized Ceres a few weeks ago during Dawn's approach. The intriguing mystery might well be solved quickly as Dawn continues to advance toward Ceres, being on schedule to enter orbit on March 6.    Poll: What do you think the light spots on Ceres are?",image,Dark Craters and Bright Spots Revealed on Asteroid Ceres,https://apod.nasa.gov/apod/image/1502/ceres02_dawn_1080.jpg
nan,2015-02-19,"Palomar 12 was not born here. The stars of the globular cluster, first identified in the Palomar Sky Survey, are younger than those in other globular star clusters that roam the halo of our Milky Way Galaxy. Palomar 12's position in our galaxy and measured motion suggest its home was once the Sagittarius Dwarf Elliptical Galaxy, a small satellite of the Milky Way. Disrupted by gravitational tides during close encounters the satellite galaxy has lost its stars to the larger Milky Way. Now part of the Milky Way's halo, the tidal capture of Palomar 12 likely took place some 1.7 billion years ago. Seen behind spiky foreground stars in the sharp Hubble image, Palomar 12 spans nearly 60 light-years. Still much closer than the faint, fuzzy, background galaxies scattered throughout the field of view, it lies about 60,000 light-years away, toward the constellation Capricornus.",image,Palomar 12,https://apod.nasa.gov/apod/image/1502/potw1507a_pal12w900.jpg
Tunç Tezel,2015-02-20,"ght years ago, an evening sky held this lovely pairing of a young crescent Moon and brilliant Venus. Seen near the western horizon, the close conjunction and its wintry reflection were captured from Bolu, Turkey, planet Earth on February 19, 2007. In the 8 Earth years since this photograph was taken Venus has orbited the Sun almost exactly 13 times, so the Sun and Venus have now returned to the same the configuration in Earth's sky. And since every 8 years the Moon also nearly repeats its phases for a given time of year, a very similar crescent Moon-Venus conjunction will again appear in planet Earth's evening skies tonight. But the February 20, 2015 version of the conjunction will also include planet Mars. Much fainter Mars will wander even closer to Venus by the evening of February 21.",image,An Evening Sky Conjunction,https://apod.nasa.gov/apod/image/1502/20070219Tezel1024.jpg
Csaba Kovács,2015-02-21,"From January 11 to February 25 2013, a pinhole camera sat in a field near Budapest, Hungary, planet Earth to create this intriguing solargraph. And for 45 days, an old Antonov An-2 biplane stood still while the Sun rose and set. The camera's continuous exposure began about 20 days after the northern hemispere's winter solstice, so each day the Sun's trail arcs steadily higher through the sky. These days in the Sun were recorded on a piece of black and white photosensitive paper tucked in to the simple plastic film container. The long exposure produced a visible color image on the paper that was then digitally scanned. Of course, cloudy days left gaps in the solargraph's Sun trails.",image,45 Days in the Sun,https://apod.nasa.gov/apod/image/1502/45_days_solargraphy_Csaba_Kovacs.jpg
Jason Jennings,2015-02-22,"Connecting the Pipe Nebula to the colorful region near bright star Antares is a dark cloud dubbed the Dark River,  flowing from the picture's left edge. Murky looking, the Dark River's appearance is caused by dust obscuring background starlight, although the dark nebula contains mostly hydrogen and molecular gas.  Surrounded by dust, Antares, a red supergiant star, creates an unusual bright yellowish reflection nebula. Above it, bright blue double star Rho Ophiuchi is embedded in one of the more typical bluish reflection nebulae, while red emission nebulae are also scattered around the region. Globular star cluster M4 is just seen above and right of Antares, though it lies far behind the colorful clouds, at a distance of some 7,000 light-years. The Dark River itself is about 500 light years away.  The colorful skyscape is a mosaic of telescopic images spanning nearly 10 degrees (20 Full Moons) across the sky in the constellation of the Scorpion (Scorpius).    Follow APOD on: Facebook,  Google Plus, or Twitter",image,The Dark River to Antares,https://apod.nasa.gov/apod/image/1502/darkriver_jennings_960.jpg
 David Lane &  R. Gendler (3 insets)  ,2015-02-23,"Which is older -- the rocks you see on the ground or the light you see from the sky? Usually it�s the rocks that are older, with their origin sediments deposited well before light left any of the stars or nebulas you see in the sky. However, if you can see, through a telescope, a distant galaxy far across the universe -- further than Andromeda or spiral galaxy NGC 7331 (inset) -- then you are seeing light even more ancient. Featured here, the central disk of our Milky Way Galaxy arches over Toadstool hoodoos rock formations in northern Arizona, USA. The unusual Toadstool rock caps are relatively hard sandstone that wind has eroded more slowly than the softer sandstone underneath.  The green bands are airglow, light emitted by the stimulated air in Earth's atmosphere. On the lower right is a time-lapse camera set up to capture the sky rotating behind the picturesque foreground scene.",image,The Milky Way Over the Arizona Toadstools,https://apod.nasa.gov/apod/image/1502/ToadSky_Lane_1080.jpg
 W. Jaeschke ,2015-02-24,"What is creating unusual plumes on Mars? No one is sure.  Noted and confirmed by a global contingent of amateur astronomers on photos of the red planet in March 2012, possibly similar plumes have now been found on archived images as far back as 1997.  Since the plumes reach 200 kilometers up, they seem too high to be related to wind-blown surface dust.  Since one plume lasted for eleven days, it seemed too long lasting to be related to aurora. Amateur astronomers will surely continue to monitor the terminator and edge regions of Mars for new high plumes, and the armada of satellites orbiting Mars may be called upon to verify and study any newly reported plume that become visible. The featured 35-minute time-lapse animation was taken on 2012 March 20 by the plume's discoverer -- an attorney from Pennsylvania, USA.    Poll: What do you think these unusual Martian plumes are?",image,Unusual Plumes Above Mars,https://apod.nasa.gov/apod/image/1502/MarsPlume_jaeschke_480.gif
 Arno Rottal (Far-Light-Photography)  ,2015-02-25,"The Rosette Nebula is not the only cosmic cloud of gas and dust to evoke the imagery of flowers -- but it is the most famous.  At the edge of a large molecular cloud in Monoceros, some 5,000 light years away, the petals of this rose are actually a stellar nursery whose lovely, symmetric shape is sculpted by the winds and radiation from its central cluster of hot young stars. The stars in the energetic cluster, cataloged as NGC 2244, are only a few million years old, while the central cavity in the Rosette Nebula, cataloged as NGC 2237, is about 50 light-years in diameter. The nebula can be seen firsthand with a small telescope toward the constellation of the Unicorn (Monoceros).   Follow APOD on: Facebook,  Google Plus, or Twitter",image,The Rosette Nebula in Hydrogen and Oxygen,https://apod.nasa.gov/apod/image/1502/ngc2244_rottal_1080.jpg
Kevin Bourque,2015-02-26,"Venus, named for the Roman goddess of love, and Mars, the war god's namesake, came together by moonlight in this lovely skyview, recorded on February 20 from Charleston, South Carolina, USA, planet Earth. Made in twilight with a digital camera, the three second time exposure also records earthshine illuminating the otherwise dark surface of the young crescent Moon. Of course, the Moon has moved on from this much anticipated triple conjunction. Venus still shines in the west though as the evening star, third brightest object in Earth's sky, after the Sun and the Moon itself. Seen here within almost a Moon's width of Venus, much fainter Mars approached even closer on the following evening. But Mars has since been moving slowly away from brilliant Venus, though Mars is still visible too in the western twilight.",image,Love and War by Moonlight,https://apod.nasa.gov/apod/image/1502/2015_02_20_conj_bourque1024.jpg
CARA Project,2015-02-27,"Buffeted by the solar wind, Comet Lovejoy's crooked ion tail stretches over 3 degrees across this telescopic field of view, recorded on February 20. The starry background includes awesome bluish star Phi Persei below, and pretty planetary nebula M76 just above Lovejoy's long tail. Also known as the Little Dumbbell Nebula, after its brighter cousin M27 the Dumbbell Nebula, M76 is only a Full Moon's width away from the comet's greenish coma. Still shining in northern hemisphere skies, this Comet Lovejoy (C/2014 Q2) is outbound from the inner solar system some 10 light-minutes or 190 million kilometers from Earth. But the Little Dumbbell actually lies over 3 thousand light-years away. Now sweeping steadily north toward the constellation Cassiopeia Comet Lovejoy is fading more slowly than predicted and is still a good target for small telescopes.",image,Long Lovejoy and Little Dumbbell,https://apod.nasa.gov/apod/image/1502/Feb20Lovejoy_astroligu60c1024.jpg
Jay Ouellet,2015-02-28,"Taken on February 20, five different exposures made in rapid succession were used to created this tantalizing telephoto image. In combination, they reveal a wide range of brightness visible to the eye on that frigid evening, from the urban glow of the Quebec City skyline to the triple conjunction of Moon, Venus and Mars. Shortly after sunset the young Moon shows off its bright crescent next to brilliant Venus. Fainter Mars is near the top of the frame. Though details in the Moon's sunlit crescent are washed out, features on the dark, shadowed part of the lunar disk are remarkably clear. Still lacking city lights the lunar night is illuminated solely by earthshine, light reflected from the sunlit side of planet Earth.",image,Moon-Venus-Mars Skyline,https://apod.nasa.gov/apod/image/1502/HDR_MVMQ20Feb2015ouellet1024.jpg
nan,2015-03-01,"Almost every object in the above photograph is a galaxy.  The Coma Cluster of Galaxies pictured above is one of the densest clusters known - it contains thousands of galaxies.  Each of these galaxies houses billions of stars - just as our own Milky Way Galaxy does.  Although nearby when compared to most other clusters, light from the Coma Cluster still takes hundreds of millions of years to reach us.  In fact, the Coma Cluster is so big it takes light millions of years just to go from one side to the other!  The above mosaic of images of a small portion of Coma was taken in unprecedented detail in 2006 by the Hubble Space Telescope to investigate how galaxies in rich clusters form and evolve.  Most galaxies in Coma and other clusters are ellipticals, although some imaged here are clearly spirals.   The spiral galaxy on the upper left of the above image can also be found as one of the bluer galaxies on the upper left of this wider field image. In the background thousands of unrelated galaxies are visible far across the universe.",image,Inside the Coma Cluster of Galaxies,https://apod.nasa.gov/apod/image/1503/ComaCluster_hubble_960.jpg
 Nuno Serr�o ,2015-03-02,"It is not every day that such an interesting cloud photobombs your image. The original plan was to photograph a rare angular conjunction of Mars and Venus that occurred a week and a half ago, with the added bonus of a crescent Moon and the International Space Station (ISS) both passing nearby. Unfortunately, on Madeira Island, Portugal, this event was clouded out. During the next day, however, a spectacular lenticular cloud appeared before sunset, so the industrious astrophotographer quickly formulated a new plan.  A close look at the resulting image reveals the Moon visible toward the left of the frame, while underneath, near the bottom, are the famous planets with Venus being the brighter.  It was the unexpected lenticular cloud, though, perhaps looking like some sort of futuristic spaceship, that stole the show.  The setting Sun illuminated the stationary cloud (and everything else) from the bottom, setting up an intricate pattern of shadows, layers, and brightly illuminated regions, all seen evolving in a corresponding video.  Mars and Venus will next appear this close on the sky in late August, but whether any place on Earth will catch them behind such a photogenic cloud is unknown.    Follow APOD on: Facebook,  Google Plus, or Twitter",image,"Lenticular Cloud, Moon, Mars, Venus",https://apod.nasa.gov/apod/image/1503/LenticularConjunction_serrao_960.jpg
nan,2015-03-03,"It was late in the northern martian spring when the HiRISE camera onboard the Mars Reconnaissance Orbiter spied this local denizen. Tracking across the flat, dust-covered Amazonis Planitia in 2012, the core of this whirling dust devil is about 140 meters in diameter. Lofting dust into the thin martian atmosphere, its plume reaches about 20 kilometers above the surface. Common to this region of Mars, dust devils occur as the surface is heated by the Sun, generating warm, rising air currents that begin to rotate. Tangential wind speeds of up to 110 kilometers per hour are reported for dust devils in other HiRISE images.   Follow APOD on: Facebook,  Google Plus, or Twitter",image,A Dust Devil on Mars,https://apod.nasa.gov/apod/image/1503/MartianDustDevil_mro_960.jpg
 Larry Van Vleet (LVVASTRO) ,2015-03-04,"What dark structures arise from the Pelican Nebula? Visible as a bird-shaped nebula toward the constellation of a bird (Cygnus, the Swan), the Pelican Nebula is a place dotted with newly formed stars but fouled with dark dust. These smoke-sized dust grains formed in the cool atmospheres of young stars and were dispersed by stellar winds and explosions.  Impressive Herbig-Haro jets are seen emitted by a star on the right that is helping to destroy the light year-long dust pillar that contains it.  The featured image was scientifically-colored to emphasize light emitted by small amounts of ionized nitrogen, oxygen, and sulfur in the nebula made predominantly of hydrogen and helium.  The Pelican Nebula (IC 5067 and IC 5070) is about 2,000 light-years away and can be found with a small telescope to the northeast of the bright star Deneb.",image,Pillars and Jets in the Pelican Nebula,https://apod.nasa.gov/apod/image/1503/IC5067_vanvleet_960.jpg
nan,2015-03-05,"The sprawling Caloris basin on Mercury is one of the solar system's largest impact basins, created during the early history of the solar system by the impact of a large asteroid-sized body. The multi-featured, fractured basin spans about 1,500 kilometers in this enhanced color mosaic based on image data from the Mercury-orbiting MESSENGER spacecraft. Mercury's youngest large impact basin, Caloris was subsequently filled in by lavas that appear orange in the mosaic. Craters made after the flooding have excavated material from beneath the surface lavas. Seen as contrasting blue hues, they likely offer a glimpse of the original basin floor material. Analysis of these craters suggests the thickness of the covering volcanic lava to be 2.5-3.5 kilometers. Orange splotches around the basin's perimeter are thought to be volcanic vents.",image,Enhanced Color Caloris,https://apod.nasa.gov/apod/image/1503/PIA19216MessengerCaloris900.jpg
CEDIC Team,2015-03-06,"The faint and somehow menacing cometary globule CG4 reaches through the center of this deep southern skyscape. About 1,300 light-years from Earth toward the constellation Puppis, its head is about 1.5 light-years in diameter and its tail about 8 light-years long. That's far larger than the Solar System's comets that it seems to resemble. In fact, the dusty cloud contains enough material to form several Sun-like stars and likely has ongoing star formation within. How its distinctive form came about is still debated, but its long tail trails away from the Vela Supernova remnant near the center of the Gum Nebula, while its head could represent the rupture of an originally more spherical cloud. Still, the edge-on spiral galaxy also near picture center is not actually being threatened by CG4. The galaxy lies in the distant background more than 100 million light-years away.",image,Cometary Globule CG4,https://apod.nasa.gov/apod/image/1503/cg04-1_1024.jpg
Don Goldman,2015-03-07,"Near the outskirts of the Small Magellanic Cloud, a satellite galaxy some 200 thousand light-years distant, lies 5 million year young star cluster NGC 602. Surrounded by natal gas and dust, NGC 602 is just below center in this telescopic field of view with the angular size of the Full Moon on the sky. The cluster itself is about 200 light-years in diameter. Glowing interior ridges and swept back shapes strongly suggest that energetic radiation and shock waves from NGC 602's massive young stars have eroded the dusty material and triggered a progression of star formation moving away from the cluster's center. Of course, the more extended wings of emission in the region suggest a popular name for the complex cosmic environment, The Flying Lizard Nebula.",image,NGC 602 in the Flying Lizard Nebula,https://apod.nasa.gov/apod/image/1503/NGC602Web_goldman950.jpg
nan,2015-03-08,"The center of our Milky Way Galaxy is hidden from the prying eyes of optical telescopes by clouds of obscuring dust and gas. But in this stunning vista, the Spitzer Space Telescope's infrared cameras, penetrate much of the dust revealing the stars of the crowded galactic center region. A mosaic of many smaller snapshots, the detailed, false-color image shows older, cool stars in bluish hues. Reddish glowing dust clouds are associated with young, hot stars in stellar nurseries. The very center of the Milky Way was only recently found capable of forming newborn stars. The galactic center lies some 26,000 light-years away, toward the constellation Sagittarius. At that distance, this picture spans about 900 light-years.",image,Stars at the Galactic Center,https://apod.nasa.gov/apod/image/1503/mwcenter_spitzer_960.jpg
nan,2015-03-09,"What are the unusual spots surrounding that galaxy? They are all images of the same supernova. For the first time, a single supernova explosion has been seen split into multiple images by the gravitational lens deflections of intervening masses. In this case the masses are a large galaxy and its home galaxy cluster. The featured image was captured last November by the Earth-orbiting Hubble Space Telescope.  The yellow-hued quadruply-imaged Supernova Refsdal occurred in the early universe far behind the cluster. Measuring the locations and time-delays between the supernova images should allow astrophysicists to recover the amount of dark matter in the galaxy and cluster. With patience and luck, a fifth image of the supernova will also be recovered nearby in the next few years.   Astrophysicists: Browse 1,000+ codes in the Astrophysics Source Code Library",image,Galaxy and Cluster Create Four Images of Distant Supernova,https://apod.nasa.gov/apod/image/1503/QuadSupernova_hubble_1080.jpg
 James Boardman Woodend  (Images Inspired by Nature) ,2015-03-10,"Several key conditions came together to create this award-winning shot. These included a dark night, few clouds, an epic auroral display, and a body of water that was both calm enough and unfrozen enough to show reflected stars. The featured skyscape of activity and serenity appeared over Iceland's Vatnaj�kull Glacier a year ago January, with the J�kuls�rl�n Iceberg Lagoon captured in the foreground. Aurora filled skies continue to be common near Earth's poles as our Sun, near Solar Maximum, continues to expel energetic clouds of plasma into the Solar System.    Follow APOD on: Facebook,  Google Plus, or Twitter",image,Aurora over Icelandic Glacier,https://apod.nasa.gov/apod/image/1503/AuroraGlacier_woodend_1080.jpg
 Diego Rizzo ,2015-03-11,"First, there was an unusual smell. Then there was a loud bang. But what appeared to the eye was the most amazing of all. While waiting near midnight to see a possible eruption of Volc�n de Fuego (Volcano of Fire) in Guatemala last month, a ready camera captured this extraordinary image.  Lava is seen running down the side of the volcano, while ash rises up, and glowing magma bubbles explode out of the caldera. Lights near the town of Escuintla can be seen in the background, one of several nearby towns that have witnessed several spectacular eruptions previously.  High above, seemingly tranquil by comparison, are familiar stars from the night sky. Although the Volc�n de Fuego usually undergoes low-level activity, when the next spectacular eruption will occur is unknown.   Click Through the Universe: Random APOD Generator",image,Volcano of Fire Erupts Under the Stars,https://apod.nasa.gov/apod/image/1503/FuegoVolcano_Rizzo_960.jpg
Jimmy Walker,2015-03-12,"The W-shaped ridge of emission featured in this vivid skyscape is known as the Cygnus Wall. Part of a larger emission nebula with a distinctive outline popularly called The North America Nebula, the cosmic ridge spans about 20 light-years. Constructed using narrowband data to highlight the telltale reddish glow from ionized hydrogen atoms recombining with electrons, the two frame mosaic image follows an ionization front with fine details of dark, dusty forms in silhouette. Sculpted by energetic radiation from the region's young, hot, massive stars, the dark shapes inhabiting the view are clouds of cool gas and dust with stars likely forming within. The North America Nebula itself, NGC 7000, is about 1,500 light-years away.",image,Along the Cygnus Wall,https://apod.nasa.gov/apod/image/1503/CygnusWallWalker600.jpg
Francis Audet,2015-03-13,"Last Friday, an almost Full Moon rose as the Sun set, over this mountainous landscape north of Beijing, China. Also near apogee, the farthest point in its elliptical orbit around planet Earth, it was this year's smallest and faintest Full Moon. The Jiankou section of the Great Wall of China meanders through the scene, the ancient Great Wall itself the subject of an older-than-the-space-age myth that it would be visible to the eye when standing on the lunar surface. But even from low Earth orbit, the large scale artifact of human civilization is very difficult to identify. At its farthest from our fair planet, the Moon shines brightly in the twilight sky though, posing in the faint, pinkish band known as the antitwilight arch or the belt of Venus.",image,The Great Wall by Moonlight,https://apod.nasa.gov/apod/image/1503/GreatWallMoonlightAudet1024.jpg
nan,2015-03-14,"Thursday, shortly after local sunrise over central Asia, this Soyuz spacecraft floated over a sea of golden clouds during its descent by parachute through planet Earth's dense atmosphere. On board were Expedition 42 commander Barry Wilmore of NASA and Alexander Samokutyaev and Elena Serova of the Russian Federal Space Agency (Roscosmos). Touch down was at approximately 10:07 p.m. EDT (8:07 a.m. March 12, Kazakh time) southeast of Zhezkazgan, Kazakhstan. The three were returning from low Earth orbit, after almost six months on the International Space Station as members of the Expedition 41 and Expedition 42 crews.",image,Return at Sunrise,https://apod.nasa.gov/apod/image/1503/expedition42descent.jpg
 Fred Bruenjes (moonglow.net)  ,2015-03-15,"Would you go to the end of the world to see a total eclipse of the Sun? If you did, would you be surprised to find someone else there already? In 2003, the Sun, the Moon, Antarctica, and two photographers all lined up in Antarctica during an unusual total solar eclipse.  Even given the extreme location, a group of enthusiastic eclipse chasers ventured near the bottom of the world to experience the surreal momentary disappearance of the Sun behind the Moon.  One of the treasures collected was the above picture -- a composite of four separate images digitally combined to realistically simulate how the adaptive human eye saw the eclipse.  As the image was taken, both the Moon and the Sun peeked together over an Antarctic ridge.  In the sudden darkness, the magnificent corona of the Sun became visible around the Moon.  Quite by accident, another photographer was caught in one of the images checking his video camera.   Visible to his left are an equipment bag and a collapsible chair.  A total solar eclipse will occur on Friday and be visible from the north Atlantic Ocean.",image,A Total Eclipse at the End of the World,https://apod.nasa.gov/apod/image/1503/AntarcticEclipse_bruenjes_960.jpg
 Rogelio Bernal Andreo ,2015-03-16,"Cradled in cosmic dust and glowing hydrogen, stellar nurseries in Orion the Hunter lie at the edge of giant molecular clouds some 1,500 light-years away. Spanning about 30 degrees, this breath-taking vista stretches across the well-known constellation from head to toe (left to right) and beyond. At 1,500 light years away, the Great Orion Nebula is the closest large star forming region, here visible just right and below center. To its left are the Horsehead Nebula, M78, and Orion's belt stars. Sliding your cursor over the picture will also find red giant Betelgeuse at the hunter's shoulder, bright blue Rigel at his foot, the Witch Head Nebula above -- and illuminated by -- Rigel, and the glowing Lambda Orionis (Meissa) nebula on the left, near Orion's head. Of course, the Orion Nebula and bright stars are easy to see with the unaided eye, but dust clouds and emission from the extensive interstellar gas in this nebula-rich complex, are too faint and much harder to record. In this mosaic of broadband telescopic images, additional image data acquired with a narrow hydrogen alpha filter was used to bring out the pervasive tendrils of energized atomic hydrogen gas like in the arc of the giant Barnard's Loop.",image,The Clouds of Orion the Hunter,https://apod.nasa.gov/apod/image/1503/OrionClouds_Andreo_1080.jpg
 VegaStar Carpentier ,2015-03-17,"Do you see it?  This common question frequently precedes the rediscovery of one of the most commonly recognized configurations of stars on the northern sky: the Big Dipper.  This grouping of stars is one of the few things that has likely been seen, and will be seen, by every human generation.   In this featured image, however, the stars of the Big Dipper have been digitally enhanced -- they do not really appear this much brighter than nearby stars.  The image was taken earlier this month from France. The Big Dipper is not by itself a constellation.  Although part of the constellation of the Great Bear (Ursa Major), the Big Dipper is an asterism that has been known by different names to different societies. Five of the Big Dipper stars are actually near each other in space and were likely formed at nearly the same time.  Relative stellar motions will cause the Big Dipper to slowly change its apparent configuration over the next 100,000 years.   Follow APOD on: Facebook,  Google Plus, or Twitter",image,The Big Dipper Enhanced,https://apod.nasa.gov/apod/image/1503/BigDipperEnhanced_carpentier_598.jpg
nan,2015-03-18,"What does the Earth look like during a total solar eclipse?  It appears dark in the region where people see the eclipse, because that's where the shadow of the Moon falls. The shadow spot actually shoots across the Earth at nearly 2,000 kilometers per hour, darkening locations in its path for only a few minutes before moving on. The featured image shows the Earth during the total solar eclipse of 2006 March, as seen from the International Space Station.  On Friday the Moon will move in front of the Sun once again, casting another distorted circular shadow that, this time, will zip over part of the north Atlantic Ocean.",image,Earth During a Total Eclipse of the Sun,https://apod.nasa.gov/apod/image/1503/EarthEclipse_ISS_Annotated_960.jpg
Clear Skies,2015-03-19,"On the night of March 17/18 this umbrella of northern lights unfolded over backyards in Vallentuna, Sweden about 30 kilometers north of Stockholm. A result of the strongest geomagnetic storm of this solar cycle, auroral displays were captured on that night from back and front yards at even lower latitudes, including sightings in the midwestern United States. A boon for aurora hunting skywatchers, the space storm began building when a coronal mass ejection, launched by solar activity some two days earlier, struck planet Earth's magnetosphere. So what's the name of the backyard observatory on the right of the wide field view? That's Carpe Noctem Observatory, of course.",image,Aurora in the Backyard,https://apod.nasa.gov/apod/image/1503/AuroraBackyardHeden.jpg
nan,2015-03-20,"Today's date marks an Equinox and a New Moon. Remarkably, while the exact timing of both geocentric events occur within a span of only 13 hours, the moon also reaches its new phase only 14 hours after perigee, the closest point in its orbit. That makes the Equinox New Moon the largest New Moon of 2015, though hard to see since that lunar phase presents the Moon's dark, night side to planet Earth. Still, in this well composed image of a young lunar phase from late January you can glimpse both night and day on the lunar surface, the night side faintly illuminated by Earthshine next to the day side's brightly sunlit crescent. But some will see today's Equinox New Moon in silhouette! The Equinox Solar Eclipse will be total across stretches of the Arctic Ocean, visible in partial phases from Europe, northern Africa and western Asia.  Gallery: Today's solar eclipse",image,"Sunshine, Earthshine",https://apod.nasa.gov/apod/image/1503/EarthShineStack1024.jpg
Stan Honda,2015-03-21,"Snowy and cold is weather you might expect at the start of spring for Longyearbyen on the Arctic archipelago of Svalbard, Norway. But that turned out to be good weather for watching the Moon's umbral shadow race across northern planet Earth. The region was plunged into darkness for 3 minutes during the March 20 total solar eclipse while insulated eclipse chasers witnessed the dark Sun in the cold clear sky. In this well-timed snapshot captured near the end of totality, the Moon's shadow sweeps away from the horizon and the solar corona fades as the lunar disk just begins to uncover the Sun. Streaming past the Moon's edge, direct rays of sunlight create the fleeting appearance of a glistening diamond ring.  Gallery: Solar Eclipse",image,Northern Equinox Eclipse,https://apod.nasa.gov/apod/image/1503/SHX03honda1024_tse2015.jpg
